sequence_number,session_id,planned_run_id,family_id,variant_id,label,family_repetition,planned_start_utc,status,actual_start_utc,actual_end_utc,exit_code,evidence_root,error_message,central_status,central_completed_utc,central_error
1,S01,S01-001-B2-V1,B2,V1,0,1,,planned,,,,,,,,
2,S01,S01-002-S3-V1,S3,V1,1,1,,planned,,,,,,,,
3,S01,S01-003-S2-V1,S2,V1,1,1,,planned,,,,,,,,
4,S01,S01-004-B1-V1,B1,V1,0,1,,planned,,,,,,,,
5,S01,S01-005-S1-V1,S1,V1,1,1,,planned,,,,,,,,
6,S01,S01-006-S2-V2,S2,V2,1,2,,planned,,,,,,,,
7,S01,S01-007-B1-V2,B1,V2,0,2,,planned,,,,,,,,
8,S01,S01-008-S3-V2,S3,V2,1,2,,planned,,,,,,,,
9,S01,S01-009-B3-V1,B3,V1,0,1,,planned,,,,,,,,
10,S01,S01-010-B3-V2,B3,V2,0,2,,planned,,,,,,,,
11,S01,S01-011-B2-V2,B2,V2,0,2,,planned,,,,,,,,
12,S01,S01-012-S1-V2,S1,V2,1,2,,planned,,,,,,,,
